date,total_sales,dcoilwtico,transactions,day_of_week,year
2013-09-03,1003.0,108.67,79834.0,Tuesday,2013
2013-09-04,946.0,107.29,80360.0,Wednesday,2013
2013-09-05,727.0,108.5,74704.0,Thursday,2013
2013-09-06,869.0,110.62,74579.0,Friday,2013
2013-09-07,1186.0,110.62,95846.0,Saturday,2013
2013-09-08,1104.0,110.62,94015.0,Sunday,2013
2013-09-09,688.0,109.62,77169.0,Monday,2013
2013-09-10,753.0,107.48,72483.0,Tuesday,2013
2013-09-11,730.0,107.65,74287.0,Wednesday,2013
2013-09-12,684.0,108.72,68478.0,Thursday,2013
2013-09-13,738.0,108.31,73019.0,Friday,2013
2013-09-14,1106.0,108.31,92336.0,Saturday,2013
2013-09-15,1091.0,108.31,90410.0,Sunday,2013
2013-09-16,841.0,106.54,77189.0,Monday,2013
2013-09-17,794.0,105.36,72907.0,Tuesday,2013
2013-09-18,785.0,108.23,72512.0,Wednesday,2013
2013-09-19,771.0,106.26,67209.0,Thursday,2013
2013-09-20,719.0,104.7,74285.0,Friday,2013
2013-09-21,1387.0,104.7,91544.0,Saturday,2013
2013-09-22,998.0,104.7,87513.0,Sunday,2013
2013-09-23,995.0,103.62,75213.0,Monday,2013
2013-09-24,664.0,103.22,70348.0,Tuesday,2013
2013-09-25,990.0,102.68,71613.0,Wednesday,2013
2013-09-26,667.0,103.1,66914.0,Thursday,2013
2013-09-27,753.0,102.86,72409.0,Friday,2013
2013-09-28,926.0,102.86,91304.0,Saturday,2013
2013-09-29,1079.0,102.86,87268.0,Sunday,2013
2013-09-30,779.0,102.36,74455.0,Monday,2013
2013-10-01,941.0,102.09,80690.0,Tuesday,2013
2013-10-02,890.0,104.15,80520.0,Wednesday,2013
2013-10-03,843.0,103.29,73793.0,Thursday,2013
2013-10-04,636.0,103.83,78169.0,Friday,2013
2013-10-05,1117.0,103.83,97345.0,Saturday,2013
2013-10-06,899.0,103.83,91143.0,Sunday,2013
2013-10-07,730.0,103.07,77290.0,Monday,2013
2013-10-08,423.0,103.54,73728.0,Tuesday,2013
2013-10-09,728.0,101.63,73206.0,Wednesday,2013
2013-10-10,663.0,103.08,71249.0,Thursday,2013
2013-10-11,898.0,102.17,80838.0,Friday,2013
2013-10-12,845.0,102.17,85003.0,Saturday,2013
2013-10-13,953.0,102.17,83357.0,Sunday,2013
2013-10-14,981.0,102.46,72589.0,Monday,2013
2013-10-15,782.0,101.15,71021.0,Tuesday,2013
2013-10-16,939.0,102.34,73902.0,Wednesday,2013
2013-10-17,556.0,100.72,70806.0,Thursday,2013
2013-10-18,1048.0,100.87,71837.0,Friday,2013
2013-10-19,856.0,100.87,93205.0,Saturday,2013
2013-10-20,1223.0,100.87,91210.0,Sunday,2013
2013-10-21,739.0,99.28,74337.0,Monday,2013
2013-10-22,651.0,97.63,69581.0,Tuesday,2013
2013-10-23,601.0,96.9,71321.0,Wednesday,2013
2013-10-24,647.0,96.65,67609.0,Thursday,2013
2013-10-25,730.0,97.4,72010.0,Friday,2013
2013-10-26,947.0,97.4,89451.0,Saturday,2013
2013-10-27,1054.0,97.4,86852.0,Sunday,2013
2013-10-28,819.0,98.74,73374.0,Monday,2013
2013-10-29,741.0,98.29,69205.0,Tuesday,2013
2013-10-30,776.0,96.81,72246.0,Wednesday,2013
2013-10-31,638.0,96.29,71553.0,Thursday,2013
2013-11-01,913.0,94.56,79385.0,Friday,2013
2013-11-02,1272.0,94.56,93949.0,Saturday,2013
2013-11-03,1029.0,94.56,91085.0,Sunday,2013
2013-11-04,552.0,94.58,79630.0,Monday,2013
2013-11-05,791.0,93.4,76352.0,Tuesday,2013
2013-11-06,747.0,94.74,76148.0,Wednesday,2013
2013-11-07,434.0,94.25,70599.0,Thursday,2013
2013-11-08,573.0,94.56,74646.0,Friday,2013
2013-11-09,835.0,94.56,91367.0,Saturday,2013
2013-11-10,1265.0,94.56,91689.0,Sunday,2013
2013-11-11,859.0,95.13,75194.0,Monday,2013
2013-11-12,834.0,93.12,72225.0,Tuesday,2013
2013-11-13,654.0,93.91,71600.0,Wednesday,2013
2013-11-14,596.0,93.76,67268.0,Thursday,2013
2013-11-15,803.0,93.8,74804.0,Friday,2013
2013-11-16,985.0,93.8,94069.0,Saturday,2013
2013-11-17,903.0,93.8,90357.0,Sunday,2013
2013-11-18,929.0,93.03,76133.0,Monday,2013
2013-11-19,744.0,93.35,71496.0,Tuesday,2013
2013-11-20,938.0,93.34,74998.0,Wednesday,2013
2013-11-21,570.0,95.35,69198.0,Thursday,2013
2013-11-22,937.0,94.53,73466.0,Friday,2013
2013-11-23,824.0,94.53,91187.0,Saturday,2013
2013-11-24,780.0,94.53,87771.0,Sunday,2013
2013-11-25,421.0,93.86,73966.0,Monday,2013
2013-11-26,720.0,93.41,70690.0,Tuesday,2013
2013-11-27,749.0,92.05,71571.0,Wednesday,2013
2013-11-28,700.0,92.05,69896.0,Thursday,2013
2013-11-29,760.0,92.55,74816.0,Friday,2013
2013-11-30,1431.0,92.55,94311.0,Saturday,2013
2013-12-01,1346.0,92.55,96910.0,Sunday,2013
2013-12-02,786.0,93.61,82768.0,Monday,2013
2013-12-03,1054.0,95.83,79820.0,Tuesday,2013
2013-12-04,599.0,96.97,80529.0,Wednesday,2013
2013-12-05,1315.0,97.14,77466.0,Thursday,2013
2013-12-06,776.0,97.48,80763.0,Friday,2013
2013-12-07,888.0,97.48,95160.0,Saturday,2013
2013-12-08,1271.0,97.48,92142.0,Sunday,2013
2013-12-09,501.0,97.1,80274.0,Monday,2013
2013-12-10,752.0,98.32,79326.0,Tuesday,2013
2013-12-11,920.0,97.25,82055.0,Wednesday,2013
2013-12-12,750.0,97.21,80045.0,Thursday,2013
2013-12-13,683.0,96.27,84558.0,Friday,2013
2013-12-14,1330.0,96.27,101340.0,Saturday,2013
2013-12-15,1292.0,96.27,102239.0,Sunday,2013
2013-12-16,959.0,97.18,92585.0,Monday,2013
2013-12-17,1044.0,96.99,94103.0,Tuesday,2013
2013-12-18,1049.0,97.59,102356.0,Wednesday,2013
2013-12-19,1450.0,98.4,109267.0,Thursday,2013
2013-12-20,977.0,99.11,106238.0,Friday,2013
2013-12-21,1354.0,99.11,121425.0,Saturday,2013
2013-12-22,1516.0,99.11,118997.0,Sunday,2013
2013-12-23,1943.0,98.62,145876.0,Monday,2013
2013-12-24,1350.0,98.87,155846.0,Tuesday,2013
2013-12-25,0.0,98.87,,Wednesday,2013
2013-12-26,769.0,99.18,96002.0,Thursday,2013
2013-12-27,1202.0,99.94,98330.0,Friday,2013
2013-12-28,1120.0,99.94,102858.0,Saturday,2013
2013-12-29,1074.0,99.94,88729.0,Sunday,2013
2013-12-30,1035.0,98.9,117645.0,Monday,2013
2013-12-31,1627.0,98.17,117214.0,Tuesday,2013
2014-01-01,34.0,98.17,1327.0,Wednesday,2014
2014-01-02,1366.0,95.14,90716.0,Thursday,2014
2014-01-03,1605.0,93.66,84488.0,Friday,2014
2014-01-04,1713.0,93.66,101361.0,Saturday,2014
2014-01-05,1438.0,93.66,93475.0,Sunday,2014
2014-01-06,1093.0,93.12,77784.0,Monday,2014
2014-01-07,794.058,93.31,75361.0,Tuesday,2014
2014-01-08,1271.0,91.9,77204.0,Wednesday,2014
2014-01-09,689.0,91.36,72575.0,Thursday,2014
2014-01-10,790.0,92.39,75302.0,Friday,2014
2014-01-11,1114.0,92.39,94661.0,Saturday,2014
2014-01-12,1293.0,92.39,89216.0,Sunday,2014
2014-01-13,1034.0,91.45,75590.0,Monday,2014
2014-01-14,844.0,92.15,71724.0,Tuesday,2014
2014-01-15,1197.0,93.78,74904.0,Wednesday,2014
2014-01-16,1262.0,93.54,73914.0,Thursday,2014
2014-01-17,934.347,93.96,75507.0,Friday,2014
2014-01-18,1441.0,93.96,92853.0,Saturday,2014
2014-01-19,1138.0,93.96,88313.0,Sunday,2014
2014-01-20,1081.413,93.96,74870.0,Monday,2014
2014-01-21,1274.0,94.51,74384.0,Tuesday,2014
2014-01-22,622.0,96.35,72600.0,Wednesday,2014
2014-01-23,573.0,97.23,69863.0,Thursday,2014
2014-01-24,1079.0,96.66,74881.0,Friday,2014
2014-01-25,1206.0,96.66,89619.0,Saturday,2014
2014-01-26,1139.0,96.66,86186.0,Sunday,2014
2014-01-27,887.0,95.82,73833.0,Monday,2014
2014-01-28,845.0,97.49,71475.0,Tuesday,2014
2014-01-29,833.0,97.34,70343.0,Wednesday,2014
2014-01-30,992.0,98.25,69738.0,Thursday,2014
2014-01-31,1041.0,97.55,79461.0,Friday,2014
2014-02-01,1524.0,97.55,100397.0,Saturday,2014
2014-02-02,1795.0,97.55,91157.0,Sunday,2014
2014-02-03,1271.0,96.44,82999.0,Monday,2014
2014-02-04,937.0,97.24,78774.0,Tuesday,2014
2014-02-05,1088.0,97.4,79153.0,Wednesday,2014
2014-02-06,625.0,97.84,75574.0,Thursday,2014
2014-02-07,804.0,99.98,78958.0,Friday,2014
2014-02-08,1041.0,99.98,92697.0,Saturday,2014
2014-02-09,1259.0,99.98,83507.0,Sunday,2014
2014-02-10,873.0,100.12,78191.0,Monday,2014
2014-02-11,838.0,99.96,75239.0,Tuesday,2014
2014-02-12,1084.0,100.38,79051.0,Wednesday,2014
2014-02-13,666.0,100.27,82922.0,Thursday,2014
2014-02-14,684.0,100.31,92671.0,Friday,2014
2014-02-15,962.0,100.31,93175.0,Saturday,2014
2014-02-16,1247.0,100.31,88232.0,Sunday,2014
2014-02-17,818.0,100.31,76721.0,Monday,2014
2014-02-18,719.0,102.54,73438.0,Tuesday,2014
2014-02-19,658.0,103.46,73514.0,Wednesday,2014
2014-02-20,598.0,103.2,71024.0,Thursday,2014
2014-02-21,743.0,102.53,75172.0,Friday,2014
2014-02-22,969.0,102.53,93092.0,Saturday,2014
2014-02-23,877.0,102.53,80419.0,Sunday,2014
2014-02-24,764.0,103.17,77401.0,Monday,2014
2014-02-25,574.0,102.2,72686.0,Tuesday,2014
2014-02-26,672.0,102.93,74042.0,Wednesday,2014
2014-02-27,608.0,102.68,73390.0,Thursday,2014
2014-02-28,1089.0,102.88,84571.0,Friday,2014
2014-03-01,1531.0,102.88,102182.0,Saturday,2014
2014-03-02,1638.0,102.88,79124.0,Sunday,2014
2014-03-03,1065.0,105.34,76019.0,Monday,2014
2014-03-04,1010.0,103.64,81818.0,Tuesday,2014
2014-03-05,1381.0,101.75,84962.0,Wednesday,2014
2014-03-06,945.0,101.82,81147.0,Thursday,2014
2014-03-07,842.0,102.82,80361.0,Friday,2014
2014-03-08,926.0,102.82,94346.0,Saturday,2014
2014-03-09,1324.0,102.82,92694.0,Sunday,2014
2014-03-10,848.0,101.39,77536.0,Monday,2014
2014-03-11,917.0,100.29,75793.0,Tuesday,2014
2014-03-12,1110.0,98.29,75820.0,Wednesday,2014
2014-03-13,915.0,98.57,72982.0,Thursday,2014
2014-03-14,952.0,99.23,77386.0,Friday,2014
2014-03-15,1480.0,99.23,91559.0,Saturday,2014
2014-03-16,1696.0,99.23,93240.0,Sunday,2014
2014-03-17,1076.0,98.43,80383.0,Monday,2014
2014-03-18,989.0,100.08,75912.0,Tuesday,2014
2014-03-19,862.0,100.71,76911.0,Wednesday,2014
2014-03-20,1122.0,99.68,74462.0,Thursday,2014
2014-03-21,837.0,99.97,78342.0,Friday,2014
2014-03-22,954.0,99.97,93889.0,Saturday,2014
2014-03-23,1284.0,99.97,89071.0,Sunday,2014
2014-03-24,1094.0,100.05,74406.0,Monday,2014
2014-03-25,972.0,99.66,74454.0,Tuesday,2014
2014-03-26,961.0,100.61,74887.0,Wednesday,2014
2014-03-27,942.0,101.25,71079.0,Thursday,2014
2014-03-28,1219.0,101.73,78180.0,Friday,2014
2014-03-29,1225.0,101.73,95635.0,Saturday,2014
2014-03-30,1656.0,101.73,88582.0,Sunday,2014
2014-03-31,1137.0,101.57,82265.0,Monday,2014
2014-04-01,1094.0,99.69,84822.0,Tuesday,2014
2014-04-02,1246.0,99.6,83375.0,Wednesday,2014
2014-04-03,950.0,100.29,78063.0,Thursday,2014
2014-04-04,897.0,101.16,81700.0,Friday,2014
2014-04-05,894.0,101.16,101536.0,Saturday,2014
2014-04-06,882.0,101.16,94488.0,Sunday,2014
2014-04-07,980.0,100.43,80982.0,Monday,2014
2014-04-08,875.0,102.57,76904.0,Tuesday,2014
2014-04-09,660.0,103.55,78352.0,Wednesday,2014
2014-04-10,751.0,103.37,76260.0,Thursday,2014
2014-04-11,819.0,103.68,80053.0,Friday,2014
2014-04-12,1101.0,103.68,95879.0,Saturday,2014
2014-04-13,857.0,103.68,88770.0,Sunday,2014
2014-04-14,614.0,104.05,77753.0,Monday,2014
2014-04-15,793.0,103.7,76278.0,Tuesday,2014
2014-04-16,745.0,103.71,81231.0,Wednesday,2014
2014-04-17,1050.0,104.33,84493.0,Thursday,2014
2014-04-18,774.0,104.33,81003.0,Friday,2014
2014-04-19,869.0,104.33,92589.0,Saturday,2014
2014-04-20,640.0,104.33,86198.0,Sunday,2014
2014-04-21,828.0,104.35,79111.0,Monday,2014
2014-04-22,926.0,101.69,75889.0,Tuesday,2014
2014-04-23,574.0,101.47,75358.0,Wednesday,2014
2014-04-24,617.0,102.2,71753.0,Thursday,2014
2014-04-25,696.0,100.85,75347.0,Friday,2014
2014-04-26,794.0,100.85,89576.0,Saturday,2014
2014-04-27,930.0,100.85,88583.0,Sunday,2014
2014-04-28,541.0,101.13,73482.0,Monday,2014
2014-04-29,474.0,101.56,71015.0,Tuesday,2014
2014-04-30,567.0,100.07,74823.0,Wednesday,2014
2014-05-01,607.0,99.69,87240.0,Thursday,2014
2014-05-02,777.0,100.09,80437.0,Friday,2014
2014-05-03,1079.0,100.09,98252.0,Saturday,2014
2014-05-04,1546.0,100.09,93157.0,Sunday,2014
2014-05-05,817.0,99.74,77689.0,Monday,2014
2014-05-06,891.0,99.81,75193.0,Tuesday,2014
2014-05-07,937.0,101.06,77067.0,Wednesday,2014
2014-05-08,695.0,100.52,73342.0,Thursday,2014
2014-05-09,482.0,100.32,81067.0,Friday,2014
